real_joint_name,mujoco_joint_name,replay_transform,mapping_status,model_lower,model_upper,real_reference_min,real_reference_max,reference_within_model_range,evidence
head_pitch_joint,,NOT_MAPPED,MODEL_DOF_MISMATCH,,,0.0,0.0,False,real joint exists; current X2 MuJoCo fixes head pitch
left_shoulder_yaw_joint,left_shoulder_yaw_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.556908,2.556908,-0.0106445332222419,1.5702943801879885,True,exact live JointState.name match; sign/zero not physically verified
left_wrist_pitch_joint,left_wrist_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.575959,0.575959,0.0009536743164062,0.0020980834960937,True,exact live JointState.name match; sign/zero not physically verified
left_wrist_roll_joint,left_wrist_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-1.50971,0.724312,-1.0942630767822266,-0.0150680541992187,True,exact live JointState.name match; sign/zero not physically verified
left_wrist_yaw_joint,left_wrist_yaw_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.556908,2.556908,0.0119838714599609,1.6362547874450684,True,exact live JointState.name match; sign/zero not physically verified
right_ankle_pitch_joint,right_ankle_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.802851,0.453786,-0.296149730682373,-0.2641282081604004,True,exact live JointState.name match; sign/zero not physically verified
right_ankle_roll_joint,right_ankle_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.261799,0.261799,0.0139012336730957,0.0163941383361816,True,exact live JointState.name match; sign/zero not physically verified
right_elbow_joint,right_elbow_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.356194,0.0,-1.4496870040893557,-1.170698642730713,True,exact live JointState.name match; sign/zero not physically verified
right_hip_pitch_joint,right_hip_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.556908,2.556908,-0.2957668304443359,-0.2547330856323242,True,exact live JointState.name match; sign/zero not physically verified
right_hip_roll_joint,right_hip_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.905973,0.235619,-0.0200376510620117,-0.0173525810241699,True,exact live JointState.name match; sign/zero not physically verified
right_hip_yaw_joint,right_hip_yaw_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-3.429572,1.684242,-0.0140933990478515,-0.0098748207092285,True,exact live JointState.name match; sign/zero not physically verified
right_knee_joint,right_knee_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0,2.408554,0.4769654273986816,0.5007419586181641,True,exact live JointState.name match; sign/zero not physically verified
right_shoulder_pitch_joint,right_shoulder_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-3.080506,2.033309,-0.0022048950195312,0.3987336158752441,True,exact live JointState.name match; sign/zero not physically verified
right_shoulder_roll_joint,right_shoulder_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-3.0456,0.061087,-2.188639127918001,0.0141691213563465,True,exact live JointState.name match; sign/zero not physically verified
right_shoulder_yaw_joint,right_shoulder_yaw_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.556908,2.556908,-1.565117359161377,0.0080088876698205,True,exact live JointState.name match; sign/zero not physically verified
right_wrist_pitch_joint,right_wrist_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.575959,0.575959,0.0059127807617187,0.0066757202148437,True,exact live JointState.name match; sign/zero not physically verified
right_wrist_roll_joint,right_wrist_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.724312,1.50971,0.0059127807617187,1.096933364868164,True,exact live JointState.name match; sign/zero not physically verified
right_wrist_yaw_joint,right_wrist_yaw_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.556908,2.556908,-1.6395149230957031,-0.0079574584960937,True,exact live JointState.name match; sign/zero not physically verified
waist_pitch_joint,waist_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.314159,0.314159,-0.041661671577512,-0.009322328326351,True,exact live JointState.name match; sign/zero not physically verified
waist_roll_joint,waist_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.488692,0.488692,-0.0068228175815115,0.0033978652756183,True,exact live JointState.name match; sign/zero not physically verified
waist_yaw_joint,waist_yaw_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-3.429572,2.207842,-0.0139012336730957,-0.0117921829223632,True,exact live JointState.name match; sign/zero not physically verified
