body,region,side,mass_kg,inertial_pos_x_m,inertial_pos_y_m,inertial_pos_z_m,inertial_quat_wxyz,inertia_representation,diaginertia_kg_m2,full_ixx_kg_m2,full_iyy_kg_m2,full_izz_kg_m2,full_ixy_kg_m2,full_ixz_kg_m2,full_iyz_kg_m2,current_source_file,upstream_candidate_file,source_category,source_lineage,lineage_status,hardware_evidence_level,x2_hardware_applicability,notes
left_shoulder_pitch_link,arm,left,0.885896,0.003007,0.050014,6.2e-05,0.707145209644 0.706403209424 0.0273250081009 0.013910504124,diaginertia+quat,0.00303104 0.00292896 0.000676999,0.00302300274192,0.000684999989065,0.00292899626902,0.000137000174026,-2.00020215285e-06,1.00140829385e-06,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=3.73178e-09 kg*m^2."
left_shoulder_roll_link,arm,left,0.706556,0.000621,-0.000183,-0.078842,0.706400952516 0.00587443960512 0.00386921973991 0.707776952424,diaginertia+quat,0.00549904 0.00540092 0.000539037,0.00539999687731,0.00549900011182,0.000540000010868,1.00413796567e-10,-6.7000510064e-05,1.40000385002e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=3.10763e-09 kg*m^2."
left_shoulder_yaw_link,arm,left,0.704662,0.010005,0.000179,-0.069477,0.996444441026 0.00144278063857 0.0782236346217 0.0312643138376,diaginertia+quat,0.00438693 0.00436694 0.00044713,0.00429099706067,0.00436700223621,0.000543000703129,-2.90332316329e-10,-0.000607002040967,-8.00002062396e-06,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=2.25379e-09 kg*m^2."
left_elbow_link,arm,left,0.688008,-0.013174,0.003788,-0.080203,0.970867533671 0.00837270460234 -0.0764035419978 -0.226955124754,diaginertia+quat,0.0054008 0.00531735 0.000446844,0.00526999647965,0.00533199758413,0.000562999936223,-1.89993042488e-05,0.000742999789713,-9.39995740281e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=3.88509e-09 kg*m^2."
left_wrist_yaw_link,arm,left,0.360708,7.6e-05,0.007263,-0.030679,0.992384424981 -0.122507052463 -0.00213896091599 -0.012672805427,diaginertia+quat,0.000612057 0.000527003 0.00018794,0.000612000373154,0.000506999894126,0.00020799973272,-2.00002919291e-06,1.00000459227e-06,-8.00004325309e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=4.61794e-10 kg*m^2."
left_wrist_pitch_link,arm,left,0.292062,0.011479,0.002282,0.001703,0.25876300658 0.693211017627 0.202262005143 0.641553016314,diaginertia+quat,0.000178433 0.000138482 9.10855e-05,9.20000002408e-05,0.000153000269217,0.000163000230542,7.00005845553e-06,5.0000547947e-06,1.90001027497e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=3.56713e-10 kg*m^2."
left_wrist_roll_link,arm,left,0.30304,0.002935,-0.001499,-0.083026,0.606337682787 0.0226649881425 0.00558619707751 0.794864584157,diaginertia+quat,0.00278114 0.00266331 0.000205545,0.00266699912059,0.00277199592343,0.000210999955975,-2.79989540317e-05,-0.000106000051091,4.9000040916e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=4.37957e-09 kg*m^2."
right_shoulder_pitch_link,arm,right,0.885544,0.002721,-0.050304,3.4e-05,0.706743138774 0.706967138818 -0.0144448028363 -0.0224265044036,diaginertia+quat,0.00303743 0.00294899 0.00067458,0.00303099832989,0.000681000394186,0.00294900127593,-0.000123000535997,-9.99902393949e-07,1.23265060396e-09,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=1.60908e-09 kg*m^2."
right_shoulder_roll_link,arm,right,0.696963,0.000598,0.000185,-0.079928,0.707532064617 0.00175816016057 0.00375761034317 0.706669064538,diaginertia+quat,0.00548904 0.0054003 0.000529664,0.00540000363811,0.00548900034631,0.000530000015578,5.13743705605e-11,-3.80003526064e-05,-1.40000172922e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=3.64326e-09 kg*m^2."
right_shoulder_yaw_link,arm,right,0.704661,0.010082,-0.000178,-0.069484,0.996531491558 -0.0011760405801 0.078429738687 -0.0277917137088,diaginertia+quat,0.00438849 0.00436595 0.000445562,0.00429199720709,0.00436600369178,0.000542001101128,3.14271269937e-10,-0.00060900243219,7.99992719075e-06,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=3.70933e-09 kg*m^2."
right_elbow_link,arm,right,0.687932,-0.013517,-0.003463,-0.080438,0.973224292911 -0.00938144282353 -0.0782816235604 0.215913064983,diaginertia+quat,0.00542019 0.00534355 0.000444255,0.00528499730406,0.00535599737835,0.00056700031759,1.69999353937e-05,0.000766999698384,7.99996638109e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=2.78727e-09 kg*m^2."
right_wrist_yaw_link,arm,right,0.372787,0.000153,-0.006979,-0.032069,0.99497170533 0.0996495704879 -0.000602254821637 0.010045197025,diaginertia+quat,0.00069604 0.000598539 0.000202421,0.000696000253036,0.00058299955742,0.000218000189544,2.00001021824e-06,6.67459676368e-12,7.6999865133e-05,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.urdf,URDF_CONVERSION_NUMERIC_MATCH,Robothon Master same-bundle ff_master_ultra.urdf -> principal-axis MJCF representation; conversion tool/history UNKNOWN,NUMERIC_MATCH_CONFIRMED,LEVEL_E_NOT_X2_PHYSICAL_CLOSURE,UNKNOWN,"URDF comparison max deltas: mass=0 kg, CoM=0 m, principal inertia=4.70313e-10 kg*m^2."
