experiment_id,family,dataset,mode,stable_no_fall,fall_time_s,contact_safety_pass,pelvis_hip_contact_samples,minimum_positive_precontact_distance_m,maximum_pelvis_hip_penetration_m,limit_management_pass,minimum_limit_margin_rad,saturation_management_pass,persistent_saturation_fraction,max_consecutive_saturation_s,minimum_com_support_margin_m,arm_tracking_retained,balance_shape_score,safety_pass,hypothesis,fit_dataset,evaluation,classification
ay_joint_schedule_v4,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,True,,True,0.0,0.0028831152087532,0.0,True,0.0479525539289055,True,0.0,0.0,0.0196723770465177,True,1.2545056881464471,True,Conservative continuous schedule: retain stable distribution while modestly reducing asymmetric pitch authority,,,
ay_joint_schedule_v4,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,False,7.982000000001,False,11.0,3.338704823880309e-05,0.001899798214688,False,-0.0180836487735205,False,0.4345403899721448,6.24,-0.5513541318265052,True,3.1240517563580674,False,Conservative continuous schedule: retain stable distribution while modestly reducing asymmetric pitch authority,,,
ay_joint_schedule_v5,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,True,,True,0.0,0.0029591872115524,0.0,True,0.04795257114614,True,0.0,0.0,0.0527024408241935,True,0.8580244934590575,True,"Ankle-dominant symmetric response, conservative asymmetric response, and explicit waist-roll authority",,,
ay_joint_schedule_v5,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,False,8.865000000000526,False,244.0,3.136302785217233e-06,0.0019451471993755,False,-0.1421625430749684,False,0.3760445682451253,5.4,-0.5263935554878234,True,2.937716905220358,False,"Ankle-dominant symmetric response, conservative asymmetric response, and explicit waist-roll authority",,,
phase3ay_cv_heart_only,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,True,,True,0.0,0.0028907943501328,0.0,True,0.0479526604308102,True,0.0,0.0,0.0480340393787083,True,0.5549949744087446,True,Fit symmetric heart response only; blind-test same structure on unilateral wave,heart,FIT,
phase3ay_cv_heart_only,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,True,,False,180.0,4.6835869852139225e-06,0.0004474699056621,True,0.0462312175001015,True,0.0,0.0,0.0582127551208753,True,1.3193042517519773,False,Fit symmetric heart response only; blind-test same structure on unilateral wave,heart,BLIND,
phase3ay_cv_wave_only,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,True,,True,0.0,0.0028907943501328,0.0,True,0.0479525971036181,True,0.0,0.0,0.0296862635412376,True,1.4516646751044184,True,Fit wave with safest observed nonnegative distribution; blind-test heart,wave,BLIND,
phase3ay_cv_wave_only,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,True,,True,0.0,0.0011317352302808,0.0,True,0.0462312175001015,True,0.0,0.0,0.0287226452009053,True,0.9986212733185154,True,Fit wave with safest observed nonnegative distribution; blind-test heart,wave,FIT,
phase3ay_final_candidate_v3,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,,,,,,,,,,,,,,,True,,,,FINAL_CANDIDATE
phase3ay_final_candidate_v3,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,,,,,,,,,,,,,,,True,,,,FINAL_CANDIDATE
phase3ay_final_candidate_v3,AY_MOTION_CONDITIONED_RESPONSE,heart,whole_body,,,,,,,,,,,,,,,True,,,,FINAL_CANDIDATE
phase3ay_final_candidate_v3,AY_MOTION_CONDITIONED_RESPONSE,wave,whole_body,,,,,,,,,,,,,,,True,,,,FINAL_CANDIDATE
